title,network,country,classification,start_date,seasons,status,rating,votes,cast,description,tv_comedies,crime_tv_shows,tv_dramas,docuseries,teen_tv_shows,tv_horror,kids_tv,romantic_tv_shows,science_nature_tv,british_tv_shows,tv_action_adventure,anime_series,reality_tv,tv_mysteries,tv_scifi_fantasy
Nowhere Man,Netflix,US,TV-MA,2019-10-31,1,To Be Determined,8.4,1638,"Alyssa Chia, Mavis Fan, Joseph Chang, Wang Po-chieh, Jeremiah Zhang, Chou Min-fu, Greg Hsu, Kuo Tze-cheng, Shen Hai-jung, Lu Yi-long","Two nefarious schemes taking place 10 years apart entangle a dauntless triad member, who must break out of prison to rescue a loved one.",0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
Zumbo's Just Desserts,Seven Network,AU,TV-14,2016-08-22,1,Running,6.9,1768,"Adriano Zumbo, Rachel Khoo","Dessert wizard Adriano Zumbo looks for the next “Willy Wonka” in this tense competition that finds skilled amateurs competing for a $100,000 prize.",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Seis Manos,Netflix,US,TV-MA,2019-10-03,1,To Be Determined,7.3,931,"Aislinn Derbez, Mike Colter, Jonny Cruz, Angélica Vale, Vic Chao, Danny Trejo","Orphans raised by a martial arts master are plunged into a mystery involving demonic powers, drug cartels, ancient rituals and blood sacrifice.",0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
Brotherhood,SHOWTIME,US,TV-MA,Jul/09/2006,1,Canceled,7.7,6757,"Naruna Costa, Seu Jorge, Hermila Guedes, Lee Taylor, Danilo Grangheia, Wesley Guimarães, Pedro Wagner","An honest lawyer reaches a moral crossroads after the cops force her to inform on her incarcerated brother, the leader of a rising criminal faction.",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Prank Encounters,Netflix,US,TV-MA,2019-10-25,1,To Be Determined,5.1,1843,Gaten Matarazzo,Monstrous frights meet hilarious reveals on this hidden-camera prank show as real people become the stars of their own full-blown horror movie.,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
Daybreak,Netflix,US,TV-MA,2019-10-24,1,Ended,6.7,14289,"Colin Ford, Alyvia Alyn Lind, Sophie Simnett, Austin Crute, Cody Kearsley, Jeanté Godlock, Gregory Kasyan, Krysta Rodriguez, Matthew Broderick","Living his best life in post-apocalyptic LA, a slacker strives to find the girl of his dreams while outwitting mindless ghouls and cliquish gangs.",1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
Containment,The CW,US,TV-14,2016-04-19,1,Ended,7.2,9942,"David Gyasi, Christina Marie Moses, Chris Wood, Kristen Gutoskie, Claudia Black, George Young, Hanna Mangan Lawrence, Trevor St. John","When a ferocious contagion sweeps through Atlanta, authorities impose a precarious quarantine on the city while scrambling to find a cure.",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Accidentally in Love,Tencent QQ,CN,TV-14,2018-08-08,1,Ended,7.6,691,"Junchen Guo, Yi Ning Sun, Yi Qin Zhao, Mu Xuan Cheng, Li Ma, Mo Zhou","Rejecting the demands of her wealthy family, a young woman poses as an ordinary college student and crosses paths with a stoic pop star at school.",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Wanderlust,BBC One,GB,TV-MA,2018-09-04,1,Ended,7.0,4287,"Toni Collette, Steven Mackintosh, Zawe Ashton, Joe Hurst, Emma D'Arcy, Celeste Dring, William Ash, Royce Pierreson, Jeremy Swift, Anastasia Hille, Isis Hainsworth, Sophie Okonedo","Unable to revive their fading sex life after many years of marriage, a therapist and her husband decide to start dating other people.",0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
Unnatural Selection,Netflix,US,TV-MA,2019-10-18,1,To Be Determined,8.0,1239,Unknown,"From eradicating disease to selecting a child’s traits, gene editing gives humans the chance to hack biology. Meet the real people behind the science.",0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
Spotless,Canal+,FR,TV-MA,2015-03-16,1,Ended,7.9,3045,"Marc-André Grondin, Denis Ménochet, Miranda Raison, Doug Allen, Liam Garrigan, Ciarán Owens, Kate Magowan, Tanya Fear, Naomi Radcliffe, Lucy Akhurst, Jemma Donovan, Niall Hayes, Brendan Coyle",The law-abiding owner of a crime scene cleaning service is forced into business with a powerful mob boss thanks to his irresponsible older brother.,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
The Curious Creations of Christine McConnell,Netflix,US,TV-PG,2018-10-12,1,Ended,7.7,2124,"Christine McConnell, Colleen Smith, Adam Mayfield, Michael Oosterom, Drew Massey, Mick Ignis, Tim Lagasse, Dita von Teese, Steven M. Porter, Elko Weaver","Wickedly talented baker and artist Christine McConnell fills her home with haunting confections, creepy crafts – and wildly inappropriate creatures.",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Cheese in the Trap,tvN,KR,TV-14,2016-01-04,1,Ended,7.4,2668,"Park Hae-Jin, Kim Go-eun, Seo Kang-jun, Lee Sung-kyoung, Nam Joo-hyuk, Park Min-ji, Hwang Seog-jeong, Son Byung-ho, Ahn Kil-kang","In this adaptation of a popular webtoon, a poor student trying to navigate college life gains the attention of a wealthy upperclassman with a dark side.",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
The K2,tvN,KR,TV-14,2016-09-23,1,Ended,7.8,3086,"Ji Chang-wook, Song Yoon-a, Lim Yoona, Cho Seong-ha, Kim Kap-soo, Lee Jung-jin, Son Tae-young, Shin Dong-mi",A fugitive soldier gets swept up in personal and political intrigue when he's hired as a bodyguard for the family of a presidential candidate.,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Hot Date,Pop,US,TV-MA,2017-11-08,1,Running,7.0,511,"Emily Axford, Brian Murphy",Interconnected sketches and performances skewer the madness and misunderstandings of modern relationships.,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
The Code,CBS,US,TV-MA,2019-04-09,1,Ended,7.4,3732,"Dan Spielman, Ashley Zukerman, Adele Perovic, Adam Garcia, Chelsie Preston Crayford, Paul Tassone, Dan Wyllie, Lucy Lawless, Aden Young, David Wenham","Investigating a deadly car crash, a journalist and his hacker brother stumble into a conspiracy that reaches into the upper echelons of government.",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Robotech,MBS,AJ,TV-MA,1985-03-04,1,Ended,8.5,3350,"Jean-Claude Ballard, Gregory Snegoff, Cam Clarke, Melissa Newman, Tony Oliver, Larry Abraham, Robert Axelrod, Robert V. Barron","When a mysterious spaceship crashes in the Pacific, the people of Earth work to master the science of robotechnology and rebuild the giant fortress.",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Medal of Honor,Netflix,US,TV-MA,2018-11-09,1,To Be Determined,8.4,1319,"Oliver Hudson, Ben Schwartz, Paul Wesley, Aldis Hodge, Jonny Weston, Joseph Cross, Jake Abel, Derek Mio","Honoring service members whose courage merited the awarding of a Medal of Honor, this docudrama series re-creates their inspiring true stories.",0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Super Drags,Netflix,US,TV-MA,2018-11-09,1,Ended,5.6,1307,"Fernando Mendonça, Sérgio Cantú, Wagner Follare, Pabllo Vittar, Silvetty Montilla, Rapha Vélez, Sylvia Salustti, Guilherme Briggs","In this adult animated series, three gay co-workers lead double lives as drag queen superheroes, saving the LGBTQ community from evil nemeses.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Westside,Three,NZ,TV-MA,2015-05-31,1,Running,8.0,449,Unknown,Nine struggling musicians share the spotlight in this deeply personal reality series about the challenges and thrills of staging a Hollywood showcase.,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
