title,network,country,classification,start_date,seasons,status,rating,votes,cast,description,tv_comedies,crime_tv_shows,tv_dramas,docuseries,teen_tv_shows,tv_horror,kids_tv,romantic_tv_shows,science_nature_tv,british_tv_shows,tv_action_adventure,anime_series,reality_tv,tv_mysteries,tv_scifi_fantasy
Narcos,Netflix,US,TV-MA,2015-08-28,3,Ended,8.8,344678,"Wagner Moura, Pedro Pascal, Boyd Holbrook, Damián Alcázar, Alberto Ammann, Francisco Denis, Pêpê Rapazote, Matias Varela, Michael Stahl-David, Matt Whelan, Arturo Castro, Javier Cámara, José María Yazpik, Eric Lange, Brett Cullen, Miguel Ángel Silvestre, Kerry Bishé, Paulina Gaitán, Cristina Umaña, Paulina García, Juan Sebastián Calero, Joanna Christie, Taliana Vargas, Andrea Londo, Manolo Cardona, Diego Cataño, Raúl Méndez, Bruno Bichir, Stephanie Sigman, Florencia Lozano, Juan Pablo Raba, Leynar Gomez, Konstantin Melikhov, Martina García, Maurice Compte, Mauricio Cujar, Jorge Monterrosa, Germán Jaramillo, Juan Pablo Shuk, Julián Díaz, Alejandro Buitrago, Federico Rivera",The true story of Colombia's infamously violent and powerful drug cartels fuels this gritty gangster drama series.,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0
Toast of London,Channel 4,UK,TV-MA,2013-10-20,3,Ended,8.2,6052,"Matt Berry, Robert Bathurst, Doon Mackichan, Shazad Latif, Tim Downie, Harry Peacock, Tracy Ann Oberman","After a divorce and fatal career move, a classically trained British stage actor navigates single life with his odd roommate and takes on horrid jobs.",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Forensic Files,TLC,US,TV-14,1996-04-21,9,Ended,8.8,4544,Peter Thomas,Detectives and crime lab technicians use the latest and most fascinating procedures to solve crimes in this documentary-style show.,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0
Gossip Girl,The CW,US,TV-14,2007-09-19,6,Ended,7.4,150419,"Blake Lively, Leighton Meester, Penn Badgley, Chace Crawford, Ed Westwick, Kelly Rutherford, Matthew Settle, Taylor Momsen, Jessica Szohr, Zuzanna Szadkowski, Connor Paolo",A group of hyperprivileged Manhattan private-school kids seem to get away with everything. Except an anonymous blogger is watching their every move.,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
The Fosters,FreeForm,US,TV-14,2013-06-03,5,Ended,7.9,24297,"Teri Polo, Sherri Saum, Jake T. Austin, Hayden Byerly, David Lambert, Maia Mitchell, Danny Nucci, Cierra Ramirez, Madisen Beaty, Alex Saxon","This offbeat drama charts the ups and downs of an interracial lesbian couple and their multiethnic brood of biological, adopted and foster children.",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Peaky Blinders,BBC One,UK,TV-MA,2013-09-12,5,Running,8.8,317895,"Cillian Murphy, Sam Neill, Helen McCrory, Paul Anderson, Iddo Goldberg, Annabelle Wallis, Sophie Rundle, Tom Hardy, Joe Cole, Ned Dennehy, Andy Nyman, Charlie Creed-Miles, Charlotte Riley, David Dawson, Jeffrey Postlethwaite, Matthew Postlethwaite, Ian Peck, Tony Pitts, Aidan Gillen, Adrien Brody, Charlie Murphy, Aimee-Ffion Edwards","A notorious gang in 1919 Birmingham, England, is led by the fierce Tommy Shelby, a crime boss set on moving up in the world no matter the cost.",0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
Super Monsters,Netflix,US,TV-Y,2017-10-13,3,Running,6.6,328,"Elyse Maloway, Vincent Tong, Erin Matthews, Andrea Libman, Alessandro Juliani, Nicole Anthony, Ian James Corlett, Britt McKillip, Kathleen Barr, Diana Kaarina",Preschool kids whose parents are the world's most famous monsters try to master their special powers while preparing for kindergarten.,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Zoo,CBS,US,TV-14,2015-06-30,3,Ended,6.8,21286,"James Wolk, Kristen Connolly, Nonso Anozie, Nora Arnezeder, Billy Burke, Carl Lumbly, Alyssa Diaz, Josh Salatin","When animal species all over the world begin attacking humans, controversial zoologist Jackson Oz tries to discover the cause of the sudden change.",0,0,1,0,0,0,0,0,0,0,0,0,0,1,1
Jeopardy!,Syndication,US,TV-G,1984-09-10,5,Running,8.2,5818,Alex Trebek,"Alex Trebek hosts one of TV's longest-running game shows, where a trio of players buzz in with their knowledge of history, arts, pop culture and more.",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Castlevania,Netflix,US,TV-MA,2017-07-07,2,Running,8.2,36216,"Richard Armitage, James Callis, Graham McTavish, Alejandra Reynoso, Tony Amendola, Matt Frewer, Emily Swallow",A vampire hunter fights to save a besieged city from an army of otherworldly beasts controlled by Dracula himself. Inspired by the classic video games.,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
BoJack Horseman,Netflix,US,TV-MA,2014-08-22,6,Ended,8.7,105890,"Will Arnett, Aaron Paul, Amy Sedaris, Alison Brie, Paul F. Tompkins","Meet the most beloved sitcom horse of the '90s, 20 years later. He’s a curmudgeon with a heart of...not quite gold...but something like gold. Copper?",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Greenhouse Academy,Netflix,US,TV-PG,2017-09-08,3,To Be Determined,7.0,4626,"Ariel Mortman, Finn Roberts, Chris O'Neal, Dallas Hart, Cinthya Carmona, Grace Van Dien, Benjamin Papac, Jessica Amlee, BJ Mitchell, Aviv Buchler, Nadine Ellis, Yiftach Mizrahi, Parker Stevenson, Ishai Golan, Selina Giles, Reina Hardesty","When teen siblings Hayley and Alex enter an elite boarding school, they find rivalry, romance and a mystery related to the recent loss of their mom.",0,0,1,0,1,0,1,0,0,0,0,0,0,0,0
Great News,NBC,US,TV-14,2017-04-25,2,Ended,7.0,5135,"Briga Heelan, Andrea Martin, Adam Campbell, John Michael Higgins, Horatio Sanz, Nicole Richie",A TV news producer's ambitions take an awkward turn when her mother rejoins the workforce and snags a job as the station's newest intern.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
W1A,BBC Two,UK,TV-MA,2014-03-19,3,Ended,7.8,2095,"Hugh Bonneville, Monica Dolan, Jessica Hynes, Rufus Jones, Sarah Parish, Nina Sosanya, Jason Watkins, Hugh Skinner, David Westhead, Jonathan Bailey, Ophelia Lovibond, David Tennant","The new Head of Values at the BBC deals with redefining the company's purpose, events like the arrival of Prince Charles and issues with new programs.",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Hemlock Grove,Netflix,US,TV-MA,2013-04-19,3,Ended,7.1,36459,"Famke Janssen, Landon Liboiron, Dougray Scott, Bill Skarsgård, Joel de la Fuente, Kaniehtiio Horn, Madeleine Martin, Michael Andreae, Penelope Mitchell, Freya Tingley, Laurie Fortier, Nicole Boivin, Ted Dykstra, Lili Taylor, Aaron Douglas, Kandyse McClure, Marty Adams, Demore Barnes, Madeline Brewer","Secrets are just a part of daily life in the small Pennsylvania town of Hemlock Grove, where the darkest evils hide in plain sight.",0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
Monty Python's Flying Circus,BBC One,UK,NR,1969-10-05,4,Ended,8.8,66218,"John Cleese, Graham Chapman, Terry Jones, Eric Idle, Michael Palin, Terry Gilliam","The Monty Python players make their mark with a winning mix of wit, ingenuity and brilliant timing – and a penchant for mockery and cross-dressing.",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Making a Murderer,Netflix,US,TV-14,2015-12-18,2,To Be Determined,8.6,85060,Unknown,"Filmed over 10 years, this real-life thriller follows a DNA exoneree who, while exposing police corruption, becomes a suspect in a grisly new crime.",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Baby,Netflix,US,TV-MA,2018-11-30,2,Ended,6.8,7591,"Benedetta Porcaroli, Alice Pagani, Riccardo Mandolini, Chabeli Sastre Gonzalez, Brando Pacitto, Lorenzo Zurzolo, Claudia Pandolfi, Galatea Ranzi","Fed up with their families and classmates, two teen girls from a wealthy part of Rome are drawn to the city's underworld and start leading double lives.",0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
MeatEater,Sportsman Channel,US,TV-14,2012-01-01,4,Running,7.8,982,Steven Rinella,Steven Rinella scrounges in some of America's wildest terrains in this unscripted series showing him on the hunt for wild animals from ducks to deer.,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0
Chosen,Crackle,US,TV-MA,2013-01-11,2,Ended,7.4,3473,"Lan Cheng-Lung, Deng JiaJia, Han Pengyi, Sam Hayden-Smith, Jenny Zhou, Paul He, Nathaniel Kelly","When a mysterious box arrives at his door, a doctor and father is forced to participate in a twisted killing game, or risk losing everything.",0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
My Babysitter's a Vampire,Disney Channel,US,TV-PG,2011-06-27,2,Ended,7.0,3674,"Matthew Knight, Vanessa Morgan, Atticus Mitchell, Cameron Kennedy, Kate Todd, Ari Cohen","Ethan, Benny and fledgling vampire Sarah battle zombies, demons and the other supernatural beasties that regularly threaten their school.",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Rake,ABC,AU,NR,2010-11-04,5,Ended,8.5,6027,"Richard Roxburgh, Matt Day, Adrienne Pickering, Russell Dykstra, Danielle Cormack, Caroline Brazier, Geoff Morrell, Kate Box, Keegan Joyce, Damien Garvey","While Cleaver Greene is a brilliant and driven attorney, he's also an ex-druggie, a current gambling addict and loathed by many of his colleagues.",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Some Assembly Required,YTV,CA,TV-G,2014-01-06,2,Ended,3.5,687,"Kolton Stewart, Harrison Houde, Charlie Storwick, Sydney Scotia, Travis Turner, Ellie Harvie, Dylan Playfair",A 14-year-old takes ownership of a toy company and hires a group of his friends to help him create amazing new toys.,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
West Coast Customs,Fox Sports 2,US,TV-G,2013-06-16,6,Ended,6.0,405,"Ryan Friedlinghaus, Hunter Clancey","West Coast Customs, a mecca for well-heeled car lovers, stars as their team creates some of the most luxurious, outrageous vehicles on the planet.",0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
Haunted,Netflix,US,TV-MA,2018-10-19,2,Running,7.3,566,Unknown,"Real people sit down with friends and family to share terrifying true stories from their past, re-created through chilling re-enactments.",0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
Insatiable,Netflix,US,TV-MA,2018-08-10,2,Ended,6.5,21693,"Dallas Roberts, Debby Ryan, Alyssa Milano, Christopher Gorham, Kimmy Shields, Michael Provost, Erinn Westbrook, Daniel Kang, Arden Myrin","A bullied teenager turns to beauty pageants as a way to exact her revenge, with the help of a disgraced coach who soon realizes he's in over his head.",1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
Schitt's Creek,CBC,CA,TV-14,2015-01-13,5,Ended,8.5,50488,"Eugene Levy, Catherine O'Hara, Daniel Levy, Annie Murphy, Chris Elliott, Jennifer Robertson, Emily Hampshire, Tim Rozon, Sarah Levy, Dustin Milligan","Suddenly broke, the formerly filthy-rich Rose family is reduced to living in a ramshackle motel in a town they once bought as a joke: Schitt's Creek.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Carmen Sandiego,Netflix,US,TV-Y7-FV,2019-01-18,2,To Be Determined,7.9,3641,"Gina Rodriguez, Finn Wolfhard, Abby Trott, Michael Hawley, Michael Goldsmith, Kari Wahlgren, Sharon Muthu, Liam O'Brien, Rafael Petardi, Charlet Chung","A master thief who uses her skills for good, Carmen Sandiego travels the world foiling V.I.L.E.'s evil plans – with help from her savvy sidekicks.",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Killer Women with Piers Morgan,ITV,GB,TV-MA,2016-05-11,2,Ended,6.6,620,Piers Morgan,"Journalist Piers Morgan goes behind prison walls to speak with women convicted of shocking crimes, shedding light on what drove them to murder.",0,1,0,1,0,0,0,0,0,1,0,0,0,0,0
Still Game,BBC Scotland,UK,TV-14,2002-09-06,7,Ended,8.9,5595,"Ford Kiernan, Paul Riley, Jane McCarry, Greg Hemphill, Mark Cox, Gavin Mitchell, Sanjeev Kohli","Scottish pensioners Jack and Victor make the most of their golden years, getting themselves into all kinds of scrapes in their Glasgow suburb.",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Cleverman,Sundance TV,US,TV-MA,2016-06-01,2,Ended,6.4,3067,"Hunter Page-Lochard, Rob Collins, Deborah Mailman, Ryan Corr, Stef Dawson, Iain Glen, Frances O'Connor, Tasma Walton, Tony Briggs","In the near future, physically powerful beings known as ""Hairies"" struggle to survive in a segregated society dominated by hostile humans.",0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Gilmore Girls,The CW,US,TV-14,2000-10-05,7,Ended,8.1,97099,"Lauren Graham, Alexis Bledel, Scott Patterson, Keiko Agena, Yanic Truesdale, Kelly Bishop, Edward Herrmann, Melissa McCarthy, Sean Gunn, Liza Weil, Liz Torres, Jared Padalecki","Fiercely independent single mom Lorelai raises gifted, Ivy League-bound daughter Rory amid a continual stream of quick-witted repartee.",1,0,1,0,0,0,0,1,0,0,0,0,0,0,0
Star Trek,NBC,US,TV-PG,1966-09-08,3,Ended,7.5,5793,"William Shatner, Leonard Nimoy, DeForest Kelley, Nichelle Nichols, James Doohan, George Takei, Walter Koenig, Grace Lee Whitney, Majel Barrett","Led by unflappable Capt. Kirk, the crew of the starship Enterprise delves deep into the far reaches of space to explore new worlds and civilizations.",0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Skin Wars,Game Show Network,US,TV-14,2014-08-06,3,Ended,7.1,1190,"Rebecca Romijn, RuPaul, Robin Slonina, Craig Tracy","Artists test their creativity and body painting skills as they face off in a series of elaborate challenges, vying for a grand prize of $100,000.",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Little Things,Netflix,US,TV-MA,2016-10-25,3,Running,8.2,4015,"Dhruv Sehgal, Mithila Palkar","A cohabiting couple in their 20s navigate the ups and downs of work, modern-day relationships and finding themselves in contemporary Mumbai.",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Danger Mouse,CBBC,UK,TV-Y7,2015-09-28,2,To Be Determined,7.1,445,"Alexander Armstrong, Kevin Eldon, Stephen Fry, Ed Gaughan, Shauna Macdonald, Dave Lamb, Morwenna Banks",The world's greatest super-spy returns to save the world with the help of hapless hamster Penfold and a collection of state-of-the-art gadgetry.,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Fate/Apocrypha,Tokyo MX,JP,TV-MA,2017-07-01,2,Ended,6.5,1643,"Natsuki Hanae, Maaya Sakamoto, Kouki Uchiyama, Miyuki Sawashiro, Saori Hayami, Koji Yusa, Makoto Furukawa, Tetsu Inada, Satoshi Tsuruoka, Kei Shindou, Junichi Suwabe, Shunsuke Takeuchi, Ryotaro Okiayu, Mitsuru Miyamoto, Rumi Okubo, Ai Nonaka, Sakura Tange",The theft of the Greater Grail from Fuyuki City leads to a splintered timeline in which the Great Holy Grail War is waged on an unprecedented scale.,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Project Mc²,Netflix,US,TV-Y7,2015-08-07,6,Ended,5.9,701,"Mika Abdalla, Genneya Walton, Victoria Vida, Ysa Penarejo, Belle Shouse, Alyssa Lynch, Danica McKellar, Maddie Phillips, Sarah Desjardins",Teenage spy McKeyla teams up with three other super-smart girls to become secret agents who use their science and tech skills to save the day.,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
The End of the F***ing World,All 4,GB,TV-MA,2017-10-24,2,Ended,8.1,137923,"Jessica Barden, Alex Lawther, Steve Oram, Christine Bottomley, Navin Chowdhry, Wunmi Mosaku, Gemma Whelan, Jonathan Aris, Eileen Davies",A budding teen psychopath and a rebel hungry for adventure embark on a star-crossed road trip in this darkly comic series based on a graphic novel.,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
F is for Family,Netflix,US,TV-MA,2015-12-18,3,Running,8.0,28144,"Bill Burr, Laura Dern, Justin Long, Debi Derryberry, Sam Rockwell","Follow the Murphy family back to the 1970s, when kids roamed wild, beer flowed freely and nothing came between a man and his TV.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Spy Kids: Mission Critical,Netflix,US,TV-Y7-FV,2018-04-20,2,To Be Determined,4.6,247,"Ashley Bornancin, Carter Hastings, Caitlyn Bairstow, Nicholas Coombe, Nesta Cooper, Richard Ian Cox, Tom Kenny, Travis Turner, Candi Milo, Mira Sorvino","In this animated spinoff series, Juni and Carmen Cortez must battle the evil organization S.W.A.M.P. – without the help of their super-spy parents.",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Man Down,Channel 4,UK,TV-MA,2013-10-18,4,Ended,7.6,2542,"Greg Davies, Roisin Conaty, Jeany Spark, Gwyneth Powell, Isy Suttie, Michael Wozniak, Elliot Levey, Ruth Bratt, Deirdre Mullins, Steven Berkoff, Stella Gonet, Rik Mayall, Ashley McGuire, Stephanie Cole","A childish idiot trapped in an adult's body, schoolteacher Dan hates his job, hates his girlfriend-less life and has good reason to fear his dad.",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Bleach,TV Tokyo,JP,TV-14,2004-10-05,3,Ended,8.1,42555,"Masakazu Morita, Fumiko Orikasa, Yuki Matsuoka, Noriaki Sugiyama, Hiroki Yasumoto, Kentaro Ito, Ryotaro Okiayu","After teenager Ichigo Kurosaki acquires superpowers from wounded soul reaper Rukia Kuchiki, the two of them join forces to round up lost souls.",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
La Reina del Sur,Telemundo,US,TV-14,2011-02-28,2,Running,8.1,1862,"Kate del Castillo, Cristina Urgel, Alberto Jiménez, Juan José Arjona, Humberto Zurita, Dagoberto Gama, Christian Tappán, Miguel de Miguel, Salvador Zerboni, Carmen Navarro, Santiago Meléndez, Juan Carlos Solarte","This compelling show tells the story of the legendary Teresa Mendoza, a courageous woman who is perceived as conquering the world of drug trafficking.",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Frontier,Netflix,CA,TV-MA,2016-11-06,3,Ended,7.2,16229,"Jason Momoa, Landon Liboiron, Alun Armstrong, Jessica Matten, Zoe Boyle, Allan Hawco, Evan Jonigkeit, Katie McGrath","In 18th-century North America, ruthless trappers and entrepreneurs fight to wrest control of the fur trade from the mighty Hudson's Bay Company.",0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
Sick Note,Sky 1,UK,TV-MA,2017-11-07,2,Ended,6.8,5629,"Rupert Grint, Nick Frost, Don Johnson, Lindsay Lohan, Pippa Bennett-Warner, Marama Corlett, Karl Theobald, Belinda Stewart-Wilson, Camilla Beeput, Dustin Demri-Burns, Tolu Ogunmefun","After slacker Daniel Glass is misdiagnosed with cancer, his lies lead him into an absurd web of fraud, blackmail, suspicion and misadventure.",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Nailed It! Holiday!,Netflix,US,TV-PG,2018-12-07,2,To Be Determined,7.8,805,"Nicole Byer, Jacques Torres","It's the ""Nailed It!"" holiday special you've been waiting for, with missing ingredients, impossible asks and desserts that look delightfully sad.",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
The Dragon Prince,Netflix,US,TV-Y7-FV,2018-09-14,3,Running,8.4,15437,"Jack De Sena, Paula Burrows, Sasha Rojen, Jason Simpson, Racquel Belmonte, Jesse Inocalla, Luc Roderique, Jonathan Holmes, Adrian Petriw",An extraordinary discovery inspires two human princes and an elven assassin to team up on an epic quest to bring peace to their warring lands.,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
Trolls: The Beat Goes On!,Netflix,US,TV-G,2018-01-19,8,To Be Determined,5.8,652,"Amanda Leighton, Skylar Astin, Ron Funches, David Fynn, David Koechner, David Kaye, Sean T. Krishnan, Sam Lerner, Patrick Pinney, Kevin Michael Richardson, Kari Wahlgren, Fryda Wolff","As Queen Poppy welcomes a new time of peace in Troll Village with parties, sports and holiday celebrations, Branch tries to be more fun-loving.",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Lilyhammer,NRK1,NO,TV-MA,2012-01-25,3,Ended,8.0,25760,"Steven Van Zandt, Trond Fausa, Steinar Sagen, Robert Skjærstad, Tommy Karlsen, Fridtjov Såheim, Marian Saastad Ottesen","After testifying against the Mafia, ex-gangster Frank Tagliano enters witness protection and asks to be sent to Norway.",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Victorious,Nickelodeon,US,TV-G,2010-03-27,3,Ended,6.9,19501,"Victoria Justice, Leon Thomas III, Matt Bennett, Elizabeth Gillies, Ariana Grande, Avan Jogia, Daniella Monet, Michael Eric Reid, Jake Farrow, Eric Lange","When aspiring singer Tori Vega joins the eccentric students at Hollywood Arts High, she struggles to fit in with the amazingly talented teens.",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
House of Cards,Netflix,US,TV-MA,2013-02-01,6,Ended,8.7,458896,"Kevin Spacey, Robin Wright, Kate Mara, Corey Stoll, Sakina Jaffrey, Kristen Connolly, Constance Zimmer, Sebastian Arcelus, Nathan Darrow, Sandrine Holt, Michel Gill, Elizabeth Norment, Mahershala Ali, Reg E. Cathey, Molly Parker, Derek Cecil, Elizabeth Marvel, Kim Dickens, Lars Mikkelsen, Michael Kelly, Joel Kinnaman, Campbell Scott, Patricia Clarkson, Neve Campbell","A ruthless politician will stop at nothing to conquer Washington, D.C., in this Emmy and Golden Globe-winning political drama.",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
The Crown,Netflix,UK,TV-MA,2016-11-04,3,Running,8.7,121166,"Claire Foy, John Lithgow, Matt Smith, Vanessa Kirby, Jared Harris, Victoria Hamilton, Eileen Atkins, Jeremy Northam, Alex Jennings, Ben Miles, Pip Torrens, Will Keen, Harry Hadden-Paton, Daniel Ings, Greg Wise, Harriet Walter, Lia Williams, Matthew Goode, Anton Lesser",This drama follows the political rivalries and romance of Queen Elizabeth II's reign and the events that shaped the second half of the 20th century.,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
Longmire,Netflix,US,TV-14,2012-06-03,6,Ended,8.3,28386,"Robert Taylor, Katee Sackhoff, Lou Diamond Phillips, Bailey Chase, Cassidy Freeman, Adam Bartley, Louanne Stephens",This contemporary crime thriller focuses on a Wyoming sheriff who's rebuilding his life and career following the death of his wife.,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Llama Llama,Netflix,US,TV-Y,2018-01-26,2,Running,6.3,231,"Jennifer Garner, Shayle Simons, Vania Gill, Islie Hirvonen, Brendon Sunderland, Austin Abell, Evans Johnson, Kathleen Barr, David Hoole","Beloved children's book character Llama Llama springs to life in this heartwarming series about family, friendship and learning new things.",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
The Toys That Made Us,Netflix,US,TV-14,2017-12-22,3,Running,8.1,4640,Unknown,The minds behind history's most iconic toy franchises discuss the rise – and sometimes fall – of their billion-dollar creations.,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
Patriot Act with Hasan Minhaj,Netflix,US,TV-MA,2018-10-28,5,Ended,8.2,6277,Hasan Minhaj,"Every Sunday, Hasan Minhaj brings an incisive and nuanced perspective to global news, politics and culture in his unique comedy series.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Atypical,Netflix,US,TV-MA,2017-08-11,3,Running,8.3,56398,"Jennifer Jason Leigh, Keir Gilchrist, Michael Rapaport, Brigette Lundy-Paine, Amy Okuda, Jenna Boyd, Graham Rogers, Nik Dodani","When a teen on the autism spectrum decides to get a girlfriend, his bid for more independence puts his whole family on a path of self-discovery.",1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
Bondi Rescue,Network 10,AU,TV-PG,2006-02-06,1,Running,7.5,883,"Andrew Günsberg, Dean Gladstone, Bruce Hopkins, Trent 'Maxi' Maxwell, Andrew Reid, Ryan Clark, Chris Chapman, Anthony 'Harries' Caroll","This reality series follows elite professional lifeguards on Sydney's Bondi Beach, as they take on everything from animal stings to criminals.",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
The Deep,ABC ME,AU,TV-Y7,2015-12-01,3,Running,7.9,511,"Vincent Tong, Ashleigh Ball, Kathleen Barr, Michael Dobson, Brian Drummond","The Nektons are a family of underwater explorers who discover the hidden secrets of the oceans, including sunken cities, sea creatures and pirates.",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Grand Hotel,TF1,US,TV-PG,2020-09-03,3,Running,7.0,2848,"Yon González, Amaia Salamanca, Adriana Ozores, Pedro Alonso, Concha Velasco, Llorenç González, Pep Anton Muñoz, Eloy Azorín, Fele Martínez, Luz Valdenebro, Marta Larralde, Antonio Reyes, Iván Morales, Dion Córdoba, Raquel Sierra","To learn the truth about his sister's mysterious disappearance, a young man infiltrates a hotel in the guise of a footman and begins an investigation.",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
That '70s Show,FOX,US,TV-14,1998-08-23,8,Ended,8.1,151894,"Topher Grace, Mila Kunis, Ashton Kutcher, Danny Masterson, Laura Prepon, Wilmer Valderrama, Debra Jo Rupp, Kurtwood Smith, Don Stark, Tanya Roberts, Tommy Chong, Lisa Robin Kelly","Feel groovy in 1970s suburbia, where a teen and his pals hang in the basement, listening to rock and indulging other hazy benefits of '70s culture.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lucifer,Netflix,US,TV-14,2016-01-25,4,Running,8.2,217149,"Tom Ellis, Lauren German, Kevin Alejandro, D.B. Woodside, Lesley-Ann Brandt, Scarlett Estevez, Rachael Harris, Aimee Garcia, Tricia Helfer, Tom Welling, Jeremiah W. Birkett, Pej Vahdat, Michael Gladis","Bored with being the Lord of Hell, the devil relocates to Los Angeles, where he opens a nightclub and forms a connection with a homicide detective.",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Bad Blood,City,CA,TV-MA,2017-09-21,2,To Be Determined,7.5,6930,"Anthony LaPaglia, Kim Coates, Enrico Colantoni, Paul Sorvino, Maxim Roy, Brett Donahue, Michelle Mylett, Claudia Ferri, Tony Nappo","This sprawling crime drama follows the true story of the Rizzuto family and its associates, who presided over organized crime in Montreal for decades.",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Unbreakable Kimmy Schmidt,Netflix,US,TV-14,2015-03-06,4,Ended,7.6,62060,"Ellie Kemper, Jane Krakowski, Tituss Burgess, Carol Kane","When a woman is rescued from a doomsday cult and lands in New York City, she must navigate a world she didn’t think even existed anymore.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
American Crime,ABC,US,TV-14,2015-03-05,3,Ended,7.8,9119,"Felicity Huffman, Timothy Hutton, Elvis Nolasco, Regina King, Lili Taylor, Richard Cabral, Brent Anderson, Benito Martinez, Shane Jacobsen, W. Earl Brown, Caitlin Gerard, Penelope Ann Miller, Johnny Ortiz","This anthology series unfolds a different story arc for each season, with dramas focusing on aspects of American life and the criminal justice system.",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Supernatural,The CW,US,TV-14,2005-09-13,14,Running,8.4,381632,"Jared Padalecki, Jensen Ackles, Mark Sheppard, Misha Collins, Jim Beaver, Andrea Menard, Samantha Smith, Mark Pellegrino, Alexander Calvert","Siblings Dean and Sam crisscross the country, investigating paranormal activity and picking fights with demons, ghosts and monsters.",0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
DC's Legends of Tomorrow,The CW,US,TV-14,2016-01-21,4,Running,6.8,90201,"Victor Garber, Brandon Routh, Caity Lotz, Franz Drameh, Amy Pemberton, Dominic Purcell, Maisie Richardson-Sellers, Nick Zano, Arthur Darvill, Wentworth Miller, Tala Ashe, Adam Tsekhman, Christina Brucato, Simon Merrells, Nils Hognestad, Jes Macallan, Keiynan Lonsdale","A mysterious ""time master"" from the future unites an unlikely group of superheroes and villains to save the world from a powerful evil.",0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
